country,iso_code,year,installed_capacity_gw,solar_electricity,capacity_util_factor
Australia,AUS,2010,1.091,0.98,0.10254092219864479
Australia,AUS,2011,1.421,2.04,0.16388227468597263
Australia,AUS,2012,2.511,2.41,0.1095635823381687
Australia,AUS,2013,3.312,3.85,0.13269858601901485
Australia,AUS,2014,4.137,4.95,0.13658895169221297
Australia,AUS,2015,5.036,6.2,0.14054061895902017
Australia,AUS,2016,5.881,7.44,0.14441677750266121
Australia,AUS,2017,7.241227,8.92,0.14062048326653043
Australia,AUS,2018,11.127774,12.33,0.12648839260892092
Australia,AUS,2019,15.452684,18.3,0.13518953056248426
Australia,AUS,2020,19.772625,23.84,0.13763782943410963
Australia,AUS,2021,24.39662,31.19,0.14594244133429232
Australia,AUS,2022,28.88709,37.54,0.14834959588708593
Australia,AUS,2023,30.67494,44.99,0.16742802916186464
Australia,AUS,2024,35.86494,50.21,0.1598144360430368
Brazil,BRA,2014,0.024019,0.02,0.09505412476918483
Brazil,BRA,2015,0.049046002,0.06,0.1396508336906472
Brazil,BRA,2016,0.13581201,0.09,0.07564848353794135
Brazil,BRA,2017,1.212934,0.83,0.07811542791898701
Brazil,BRA,2018,2.4676583,3.46,0.16006153240494103
Brazil,BRA,2019,4.708735,6.65,0.16121791098698998
Brazil,BRA,2020,8.485171,10.75,0.14462512891863813
Brazil,BRA,2021,14.513669,16.75,0.13174480254586243
Brazil,BRA,2022,25.398739,30.13,0.13542001895822375
Brazil,BRA,2023,37.943108,50.63,0.15232490615415067
Brazil,BRA,2024,53.115776,71.32,0.1532793667820183
China,CHN,2010,1.0218,0.7,0.07820383225590796
China,CHN,2011,3.1078,2.61,0.0958701349763344
China,CHN,2012,6.7187996,3.59,0.06099562064601146
China,CHN,2013,17.7588,8.37,0.053803154045025246
China,CHN,2014,28.3988,23.51,0.09450363939102707
China,CHN,2015,43.5488,39.48,0.10348963266653714
China,CHN,2016,77.818794,66.53,0.09759530401418826
China,CHN,2017,130.83229,117.8,0.10278417189269475
China,CHN,2018,175.26186,176.9,0.11522223903672275
China,CHN,2019,204.9708,224.0,0.12475326366344748
China,CHN,2020,253.8638,261.1,0.11740916220847306
China,CHN,2021,306.9728,327.0,0.12160284925337903
China,CHN,2022,393.0318,427.27,0.12409966357747934
