year,pv_module_cost_usd_per_w
1975,128.26924
1976,96.507935
1977,70.407074
1978,49.813416
1979,41.855152
1980,35.46944
1981,28.358482
1982,25.479465
1983,20.569576
1984,19.113127
1985,16.686186
1986,13.802792
1987,11.734707
1988,10.960708
1989,11.327412
1990,11.7160635
1991,10.853333
1992,10.111405
1993,9.45594
1994,8.945153
1995,8.270751
1996,7.7322893
1997,7.705326
1998,6.9432726
1999,6.413923
2000,6.2943754
2001,6.089497
2002,5.5689664
2003,5.2943115
2004,4.5554976
2005,4.604172
2006,5.0185194
2007,5.055688
2008,4.607598
2009,3.0796502
2010,2.4433622
2011,2.0047348
2012,1.0804502
2013,0.8332635
2014,0.7689895
2015,0.7156806
2016,0.6617146
2017,0.5557844
2018,0.49517947
2019,0.45422456
2020,0.35966694
2021,0.32287797
2022,0.35583413
2023,0.3129992
2024,0.2579602
