country,iso_code,solar_share_elec,solar_electricity,installed_capacity_gw,capacity_util_factor,ghi_kwh_m2_day,pvout_kwh_kwp_day,lcoe_usd_kwh_2018,elec_tariff_cent_kwh,rural_elec_access_pct,electricity_demand,solar_cagr_5yr,cap_2019_gw,cap_2024_gw,cap_added_gw_5yr,opportunity_score
Saudi Arabia,SAU,1.81,8.23,4.340374,0.21645547524129885,6.208,5.1588,0.0859,7.6,100.0,454.64,1.0827450362250128,0.109374,4.340374,4.231,0.6722383214430316
Oman,OMN,3.922,1.7,0.67209005,0.2887469126207705,6.2779,5.1683,0.0822,5.1,100.0,43.35,1.0243974584998852,0.02624,0.67209005,0.64585005,0.6323270726898248
China,CHN,8.318,839.04,887.0998,0.10797074006533225,4.1265,3.8825,0.0727,15.5,100.0,10072.95,0.3022876723101222,204.9708,887.0998,682.1289999999999,0.5400673041204235
Egypt,EGY,2.557,6.07,2.59028,0.26750867644780635,6.2591,5.2467,0.081,8.0,100.0,235.79,0.32434301273358734,1.6472,2.59028,0.9430799999999999,0.5277981354992533
Colombia,COL,3.668,3.21,1.3924592,0.2631591332545927,4.867,4.0492,0.1059,13.2,95.7258094425259,91.74,0.8989447803582973,0.023086,1.3924592,1.3693732,0.5146421756745052
Kuwait,KWT,0.217,0.19,0.101662,0.21334911487964997,5.6764,4.8155,0.0882,0.8,100.0,87.66,0.2592746769380385,0.084259,0.101662,0.017403000000000002,0.499190814904209
Pakistan,PAK,9.967,18.15,3.719196,0.5570875555413529,5.3411,4.7126,0.0906,18.7,98.807673698578,182.58,0.8116685124009912,0.75644994,3.719196,2.96274606,0.49346469556554884
Iran,IRN,0.227,0.9,0.781638,0.13144157017365743,5.5238,4.9159,0.0868,5.3,100.0,392.8,0.12030033714161736,0.345878,0.781638,0.43576000000000004,0.4882779023719375
Yemen,YEM,0.0,0.0,0.40348402,0.0,6.4675,5.2137,0.0818,,57.6911624125305,59.63,0.0,0.25416002,0.40348402,0.149324,0.48788571125002106
Tunisia,TUN,2.352,0.49,0.77492,0.07218302929252146,5.3011,4.7445,0.0898,9.7,100.0,23.33,0.3249606086354513,0.080096,0.77492,0.6948240000000001,0.48178802689778816
Libya,LBY,0.0,0.0,0.008333,0.0,6.1345,5.1243,0.083,11.6,96.4409533778846,59.63,0.0,0.0051100003,0.008333,0.0032229997000000005,0.48004938012558634
Argentina,ARG,2.603,3.97,1.7406,0.2603678886774466,5.1243,4.5992,0.1084,15.5,100.0,161.3,0.3776538300984973,0.44585198,1.7406,1.2947480199999999,0.4789348248537598
Indonesia,IDN,0.363,1.35,0.941787,0.16363529018886003,4.6245,3.7674,0.112,10.7,94.7731365689459,372.5,0.6226711115996044,0.157802,0.941787,0.783985,0.4785954223531499
Israel,ISR,0.0,0.0,5.6054,0.0,5.7536,5.0763,0.0706,11.9,100.0,59.63,0.0,2.1381001,5.6054,3.4672999000000004,0.4758419540185074
United States,USA,6.918,303.75,177.5943,0.19524645517478081,4.4984,4.3584,0.1028,17.1,100.0,4404.83,0.23229827886238286,60.826504,177.5943,116.767796,0.47072639184680853
Norway,NOR,0.231,0.36,0.782472,0.05252058912134735,2.5833,2.7612,0.1292,10.0,100.0,137.68,1.0476725110792193,0.137118,0.782472,0.645354,0.46560017132093423
Sudan,SDN,0.0,0.0,0.19029102,0.0,6.3227,4.9432,0.086,4.4,22.2029537626764,59.63,0.0,0.080919996,0.19029102,0.10937102400000001,0.4641751120424196
Algeria,DZA,0.0,0.0,0.4618,0.0,5.9225,4.9167,0.0867,2.2,98.9553723612358,59.63,0.0,0.36674002,0.4618,0.09505997999999999,0.4618522622124697
Qatar,QAT,0.017,0.01,1.6801,0.000679455098753363,5.8988,4.9174,0.0863,4.0,100.0,58.64,0.0,0.0050999997,1.6801,1.6750000002999998,0.46171850465457914
Kenya,KEN,4.28,0.55,0.60876197,0.10313618659170495,5.78,4.5042,0.0946,21.5,39.3,13.73,0.4362301388083101,0.126496,0.60876197,0.48226597,0.46118871540805184
